"[Competência, Publicação, Início de Vigência]"
"fev/2022","24/02/2022","01/03/2022"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"mar/2020","13/03/2020","13/03/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"mar/2020","13/03/2020","13/03/2020"
"dez/2019","31/12/2019","01/01/2020"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"mar/2020","13/03/2020","13/03/2020"
"dez/2019","31/12/2019","01/01/2020"
"set/2019","30/09/2019","01/10/2019"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"mar/2020","13/03/2020","13/03/2020"
"dez/2019","31/12/2019","01/01/2020"
"set/2019","30/09/2019","01/10/2019"
"jul/2019","26/07/2019","01/08/2019"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
"out/2020","29/10/2020","01/11/2020"
"ago/2020","19/08/2020","19/08/2020"
"jun/2020","30/06/2020","01/07/2020"
"mai/2020","29/05/2020","01/06/2020"
"abr/2020","03/04/2020","03/04/2020"
"mar/2020","13/03/2020","13/03/2020"
"dez/2019","31/12/2019","01/01/2020"
"set/2019","30/09/2019","01/10/2019"
"jul/2019","26/07/2019","01/08/2019"
"mai/2019","31/05/2019","01/06/2019"
"fev/2022","24/02/2022","01/03/2022"
"jan/2022","31/01/2022","01/02/2022"
"nov/2021","30/11/2021","01/12/2021"
"ago/2021","31/08/2021","01/08/2021"
"jul/2021","31/07/2021","01/08/2021"
"jun/2021","30/06/2021","01/07/2021"
"abr/2021","30/04/2021","01/05/2021"
"mar/2021","25/03/2021","01/04/2021"
"fev/2021","26/02/2021","01/03/2021"
"dez/2020","17/12/2020","01/01/2021"
